Name,Address,Latitude,Longitude,Primary Surface,Secondary Surface,Owner,Number of Courts,Lights/No Lights,Pickleball Lines,Indoor/Outdoor,Public/Private,City,Tennis Club Name,Club Website,Membership,Winter Play,Phone,Type,Public City URL,Indoor Court Type,Notes,Operating Season,Public Hours Monday,Public Hours Tuesday,Public Hours Wednesday,Public Hours Thursday,Public Hours Friday,Public Hours Saturday,Public Hours Sunday,Public Hours Holidays,Public Hours Verified
Beaches Park,"2075 Queen St E, Toronto, ON M4E 2N8",43.66630167,-79.3003664,Hardcourt-Acrylic,,City of Toronto,10,Lights,No,Outdoor,Private with some public hours,Toronto,Kew Gardens Tennis Club,http://www.kewgardenstennis.ca,Open,No,416-699-1635,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=219,,,Summer,,,,,,,4 p.m. - 10 p.m.,,
Beaumonde Heights Park,"17 Waltham Dr, Etobicoke, ON M9V 1S6",43.74005195,-79.57281802,Hardcourt-Asphalt,,City of Toronto,3,No Lights,2,Outdoor,Public,Etobicoke,,,,No,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=826,,,Summer,,,,,,,,,
Bellbury Park,"55 Van Horne Ave, Toronto, ON M2J 2S9",43.78442941,-79.36100987,Hardcourt-Acrylic,,City of Toronto,5,Lights,No,Outdoor,Private with some public hours,Toronto,Bellbury Tennis Club,http://www.bellburytennisclub.com,Open,No,416-806-0654,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=518,,,Summer,,,,,,12 p.m. - 3 p.m.,12 p.m. - 3 p.m.,,
Bennington Heights Park,"465 Heath St E, East York, ON M4G 1B7",43.69498526,-79.37021162,Hardcourt-Acrylic,,City of Toronto,2,Lights,1,Outdoor,Private with some public hours,Toronto,Bennington Heights Tennis Club,http://www.benningtonheightstennis.org,Open,No,311,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1025,,,Summer,,,,,,8 p.m. - 11 p.m.,8 p.m. - 11 p.m.,,
Bestview Park,"115 Bestview Dr, North York, ON M2M 2Y3",43.80254869,-79.38318515,Hardcourt-Asphalt,,City of Toronto,3,Lights,3,Outdoor,Public reservable,North York,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=521,,,Summer,,,,,,,,,
Birch Park,"75 Arcadian Cir, Etobicoke, ON M8W 2Z5",43.59111733,-79.52660532,Hardcourt-Asphalt,,City of Toronto,2,Lights,2,Outdoor,Public,Etobicoke,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=827,,,Summer,,,,,,,,,
Birchmount Park,"95 Birchmount Rd, Scarborough, ON M1N 2G2",43.69731213,-79.26157701,Hardcourt-Asphalt,,City of Toronto,2,Lights,1,Outdoor,Public,Scarborough,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=550,,,Summer,,,,,,,,,
Bloordale Park South,"230 Renforth Dr, Toronto, ON M9C 2K9",43.6358405,-79.56830533,Hardcourt-Asphalt,,City of Toronto,2,No Lights,No,Outdoor,Public,Toronto,,,,No,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2795,,,Summer,,,,,,,,,
Bond Park,"120 Bond Ave, North York, ON M3B 1C9",43.7466046,-79.35046571,Hardcourt-Acrylic,,City of Toronto,6,Lights,No,Outdoor,Private with some public hours,North York,The Don Mills Tennis Club  http://www.donmillstennisclub.com,http://www.nywintertennisclub.com,Open,No,416 444-7311,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=465,,,Summer,,,,,,9 p.m. - 11 p.m.,8 a.m. - 10 a.m.; 9 p.m. - 11 p.m.,,
Botany Hill Park,"277 Orton Park Rd, Scarborough, ON M1G 3T4",43.77781386,-79.21098179,Hardcourt-Acrylic,,City of Toronto,4,Lights,No,Outdoor,Private with some public hours,Scarborough,Curran Hall Park Tennis Club,https://clubspark.ca/CurranHallParkTC,,No,311,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=560,,,Summer,,,,,,,5 p.m. to 11 p.m.,2 p.m. - 5 p.m.,
Bridlewood Park,"445 Huntingwood Dr, Scarborough, ON M1W 1G3",43.78320199,-79.31612234,Hardcourt-Acrylic,,City of Toronto,3,Lights,No,Outdoor,Private with some public hours,Scarborough,Bridlewood Tennis Club,http://www.bridlewoodtennis.ca,Open,No,311,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=578,,,Summer,,,,,,4 p.m. - 7 p.m.,4 p.m. - 7 p.m.,12 p.m. - 2 p.m.,
Broadlands Park,"19 Castlegrove Blvd, North York, ON M3A 1K5",43.7460291,-79.32204403,Hardcourt-Acrylic,,City of Toronto,4,Lights,No,Outdoor,Private with some public hours,North York,O'Connor Hills Tennis Club,http://www.oconnorhillstennis.com,Open,No,416-707-5930,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=215,,,Summer,,,,,,3 p.m. - 6 p.m.,3 p.m. - 6 p.m.,4 p.m. - 6 p.m.,
Buttonwood Park,"30 Mulham Pl, Etobicoke, ON M9A 4W1",43.68193045,-79.51956261,Hardcourt-Asphalt,,City of Toronto,3,Lights,3,Outdoor,Public reservable,Etobicoke,,,,No,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=813,,,Summer,,,,,,,,,
Cassandra Park,"230 Cassandra Blvd, Toronto, ON M3A 1T8",43.75458935,-79.31833068,Hardcourt-Acrylic,,City of Toronto,4,Lights,No,Outdoor,Private with some public hours,Toronto,Parkway Valley Tennis Club,http://www.pvtc.ca,Open,No,416-391-3962,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=16,,,Summer,,,,,,4 p.m. - 7 p.m.,4 p.m. - 7 p.m.,3 p.m. - 5 p.m.,
Cedarvale Park,"443 Arlington Ave, Toronto, ON M6C 3A2",43.69273291,-79.43211169,Hardcourt-Acrylic,,City of Toronto,4,Lights,2,Outdoor,Public,Toronto,,,,No,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=629,,,Summer,,,,,,,,,
Chalkfarm Park,"2230 Jane St, North York, ON M3L 2J1",43.72666912,-79.51577199,Hardcourt-Asphalt,,City of Toronto,2,No Lights,1,Outdoor,Public,North York,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=632,,,Summer,,,,,,,,,
Champlain Parkette,"50 Champlain Blvd, Toronto, ON M3H",43.73221166,-79.44465614,Hardcourt-Asphalt,,City of Toronto,2,No Lights,2,Outdoor,Public reservable,Toronto,,,,No,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2200,,,Summer,,,,,,,,,
Charlottetown Park,"65 Charlottetown Blvd, Scarborough, ON M1C 2C6",43.78082462,-79.14021991,Hardcourt-Acrylic,,City of Toronto,3,Lights,No,Outdoor,Private with some public hours,Scarborough,Charlottetown Tennis Club,http://www.charlottetowntennis.com,Open,No,416-284-3575,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=540,,,Summer,,4 p.m. - 6 p.m.,4 p.m. - 6 p.m.,,,,1 p.m. - 3 p.m.,10 a.m. - 12 p.m.,
Clairlea Park,"45 Fairfax Crescent, Toronto, ON M1L 1Z6",43.71429769,-79.28777802,Hardcourt-Asphalt,,City of Toronto,2,No Lights,1,Outdoor,Public,Toronto,,,,No,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2307,,,Summer,,,,,,,,,
Cliffwood Park,"280 Cliffwood Rd, North York, ON M2H 2S7",43.80827502,-79.35469986,Hardcourt-Asphalt,,City of Toronto,3,No Lights,3,Outdoor,Public reservable,North York,,,,No,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=493,,,Summer,,,,,,,,,
Cloverdale Park,"63 Shaver Ave S, Etobicoke, ON M9B 3T6",43.63374452,-79.5448478,Hardcourt-Asphalt,,City of Toronto,3,Lights,3,Outdoor,Public,Etobicoke,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=935,,,Summer,,,,,,,,,
Clydesdale Park,"116 Clydesdale Dr, North York, ON M2J 3N2",43.7836978,-79.32963303,Hardcourt-Acrylic,,City of Toronto,4,Lights,No,Outdoor,Private with some public hours,North York,Pleasantview Tennis Club,http://www.pleasantviewtennis.com,Open,No,311,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=494,,,Summer,,,,,,1 p.m. - 4 p.m.,1 p.m. - 4 p.m.,2 p.m. - 4 p.m.,
Coleman Park,"19 Coleman Ave, Toronto, ON M4C 1P8",43.68953874,-79.29959109,Hardcourt-Asphalt,,City of Toronto,2,No Lights,No,Outdoor,Public,Toronto,,,,No,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=220,,,Summer,,,,,,,,,
Confederation Park,"250 Dolly Varden Blvd, Scarborough, ON M1H 2J6",43.77346601,-79.23597817,Hardcourt-Acrylic,,City of Toronto,3,Lights,No,Outdoor,Private with some public hours,Scarborough,Centennial Tennis Club,,Open,No,311,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2262,,,Summer,4 p.m. - 6 p.m.,,,,,1 p.m. - 3 p.m.,1 a.m. - 3 a.m.,4 p.m. - 6 p.m.,
Cosburn Park,"115 Roosevelt Rd, East York, ON M4J 2K5",43.69292252,-79.33032646,Hardcourt-Acrylic,,City of Toronto,5,Lights,No,Outdoor,Private with some public hours,Toronto,East York Tennis Club ,https://www.eastyorktennisclub.com/eytc/home/readPage.do?id=141&history=clear,,No,311,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2568,,,Summer,,,,,,7 p.m. - 11 p.m.,7 p.m. - 11 p.m.,7 p.m. - 11 p.m.,2026
Cresthaven Park,"37 Cresthaven Dr, North York, ON M2H 1L9",43.79849507,-79.3632372,Hardcourt-Acrylic,,City of Toronto,4,Lights,No,Outdoor,Private with some public hours,North York,Hillcrest Tennis Club,http://www.hillcresttennisclub.ca,Open,No,416-756-2929,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=496,,,Summer,,,,,,12 p.m. - 3 p.m.,12 p.m. - 3 p.m.,,
Cummer Park,"6000 Leslie St, North York, ON M2H 1N9",43.79982406,-79.37234771,Hardcourt-Asphalt,,City of Toronto,4,Lights,2,Outdoor,Public,North York,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=941,,,Summer,,,,,,,,,
Dovercourt Park,"155 Bartlett Ave, Toronto, ON M6H 3G1",43.66553636,-79.43335239,Hardcourt-Acrylic,,City of Toronto,2,No Lights,No,Outdoor,Public,Toronto,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=86,,,Summer,,,,,,,,,
Dunlace Park,"28 Dunlace Dr, Toronto, ON M2L 2S1",43.76261568,-79.3684435,Hardcourt-Acrylic,,City of Toronto,3,Lights,No,Outdoor,Private with some public hours,Toronto,Dunlace Tennis Club,http://www.dunlacetennis.com,Open,No,289-809-3061,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=501,,,Summer,,,,,12 p.m. - 3 p.m.,12 p.m. - 3 p.m.,,,
Earlscourt Park,"1200 Lansdowne Ave, Toronto, ON M6H 4K8",43.67227345,-79.44905612,Hardcourt-Asphalt,,City of Toronto,1,Lights,5,Outdoor,Public,Toronto,,,,No,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=514,,,Summer,,,,,,,,,
East Mall Park,"355 The East Mall, Etobicoke, ON M9B 3Z7",43.64147357,-79.55689908,Hardcourt-Asphalt,,City of Toronto,3,No Lights,No,Outdoor,Public,Etobicoke,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=948,,,Summer,,,,,,,,,
Eglinton Flats,"3601 Eglinton Ave W, York, ON M6M 1V7",43.68485006,-79.49456173,Hardcourt-Acrylic,,City of Toronto,12,Lights,1,Outdoor,Public,Toronto,,,,No,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=9,,,Summer,,,,,,,,,
Eglinton Park,"200 Eglinton Ave W, Toronto, ON M4R 1C3",43.70662131,-79.40440613,Hardcourt-Asphalt,,City of Toronto,2,Lights,1,Outdoor,Public,Toronto,,,,No,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=117,,,Summer,,,,,,,,,
Elie Wiesel Park,"30 Palm Dr, North York, ON M3H 2B5",43.74601595,-79.43695587,Hardcourt-Asphalt,,City of Toronto,3,Lights,3,Outdoor,Public,North York,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=490,,,Summer,,,,,,,,,
Elizabeth Simcoe Park,"180 Sylvan Ave, Scarborough, ON M1M 1K7",43.73951979,-79.20503177,Hardcourt-Acrylic,,City of Toronto,4,Lights,No,Outdoor,Private with some public hours,Scarborough,Guildwood Tennis Club,http://www.guildwoodtennis.com,Open,No,647-228-5821,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=594,,,Summer,,,,,,3 p.m. - 6 p.m.,3 p.m. - 6 p.m.,3 p.m. - 6 p.m.,
Fairmount Park,"1725 Gerrard St E, Toronto, ON M4L 2A9",43.67538151,-79.31505942,Hardcourt-Asphalt,,City of Toronto,4,No Lights,2,Outdoor,Public,Toronto,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=127,,,Summer,,,,,,,,,
Fenside Park,"30 Slidell Crescent, North York, ON M3A 2C4",43.76434575,-79.3269592,Hardcourt-Asphalt,,City of Toronto,4,Lights,4,Outdoor,Public reservable,North York,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=312,,,Summer,,,,,,,,,
Firgrove Park,"254 Firgrove Crescent, North York, ON M3N 1K8",43.75069863,-79.5209485,Hardcourt-Asphalt,,City of Toronto,3,No Lights,2,Outdoor,Public,North York,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=572,,,Summer,,,,,,,,,
Flagstaff Park,"42 Mercury Rd, Etobicoke, ON M9W 3H5",43.72119964,-79.59066917,Hardcourt-Asphalt,,City of Toronto,2,Lights,2,Outdoor,Public,Etobicoke,,,,No,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=963,,,Summer,,,,,,,,,
Fountainhead Park,"445 Sentinel Rd, North York, ON M3J 2T6",43.76185696,-79.49916231,Hardcourt-Acrylic,,City of Toronto,3,Lights,No,Outdoor,Private with some public hours,North York,Fountainhead Community Tennis Club,http://www.nyta.org/fountainhead_new.html,Open,No,416-496-0225,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=593,,,Summer,,,,,,12 p.m. - 3 p.m.,12 p.m. - 3 p.m.,,
Gihon Spring Park,"75 Gihon Spring Dr, Etobicoke, ON M9V 4X9",43.75490542,-79.59467107,Hardcourt-Asphalt,,City of Toronto,2,Lights,1,Outdoor,Public,Etobicoke,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=843,,,Summer,,,,,,,,,
Glen Park,"44A Eastglen Crescent, Etobicoke, ON M9B 4P7",43.65093273,-79.55278763,Hardcourt-Asphalt,,City of Toronto,2,No Lights,2,Outdoor,Public,Etobicoke,,,,No,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=915,,,Summer,,,,,,,,,
Glendora Park,"201 Glendora Ave, North York, ON M2N 2W5",43.76098947,-79.39778363,Hardcourt-Acrylic,,City of Toronto,2,Lights,No,Outdoor,Public,North York,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=640,,,Summer,,,,,,,,,
Goulding Park,"80 Patricia Ave, Toronto, ON M2M 1J2",43.79158776,-79.42205099,Hardcourt-Asphalt,,City of Toronto,3,No Lights,No,Outdoor,Public,Toronto,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=644,,,Summer,,,,,,,,,
Gracedale Park,"176 Gracedale Blvd, North York, ON M9L 1A6",43.75182873,-79.56304317,Hardcourt-Asphalt,,City of Toronto,3,No Lights,1,Outdoor,Public,North York,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=645,,,Summer,,,,,,,,,
Grandravine Park,"23 Grandravine Dr, North York, ON M3J 1B1",43.75257715,-79.49161452,Hardcourt-Acrylic,,City of Toronto,3,No Lights,3,Outdoor,Public,North York,,,,No,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=648,,,Summer,,,,,,,,,
Graydon Hall Park,"215 Graydon Hall Dr, North York, ON M3A 3A6",43.76358015,-79.34267843,Hardcourt-Acrylic,,City of Toronto,3,Lights,No,Outdoor,Public,North York,,,,No,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=649,,,Summer,,,,,,,,,
Gwendolen Park,"3 Gwendolen Crescent, North York, ON M2N 2L7",43.75108714,-79.42035884,Hardcourt-Acrylic,,City of Toronto,4,Lights,No,Outdoor,Private with some public hours,North York,Gwendolen Tennis Club,http://www.gwendolentennis.com,Open,No,416-730-0429,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=651,,,Summer,,,,,5 p.m. - 7 p.m.; 8 p.m. - 10 p.m.,,9 p.m. - 11 p.m.,9 p.m. - 11 p.m.,
Havenbrook Park,"15 Havenbrook Blvd, North York, ON M2J 1A3",43.76769757,-79.35758567,Hardcourt-Acrylic,,City of Toronto,4,Lights,No,Outdoor,Private with some public hours,North York,Henry Farm Tennis Club,http://www.henryfarmtennisclub.ca,Open,No,416-493-7675,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=654,,,Summer,,,,,,1 p.m. - 4 p.m.,1 p.m. - 4 p.m.,,
Hawksbury Park,"1A Hawksbury Dr, North York, ON M2K 1M2",43.77082019,-79.38306148,Hardcourt-Acrylic,,City of Toronto,6,Lights,No,Outdoor,Private with some public hours,North York,Bayview Village Tennis Club,http://www.bayviewvillagetennis.com,,No,647-974-5499,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2365,,,Summer,,,,,,4 p.m. - 7 p.m.,4 p.m. - 7 p.m.,,
Hendon Park,"50 Hendon Ave, Toronto, ON M2M 1A2",43.78105452,-79.42040472,Hardcourt-Asphalt,,City of Toronto,4,Lights,No,Outdoor,Public,Toronto,,,,No,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=659,,,Summer,,,,,,,,,
Heron Park,"292 Manse Rd, Scarborough, ON M1E 5A6",43.76905609,-79.17839915,Hardcourt-Acrylic,,City of Toronto,5,Lights,No,Outdoor,Private with some public hours,Scarborough,Heron Park Tennis Club,http://www.heronparktennis.com,Open,No,416-282-4842,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2025,,,Summer,,,,,,8 p.m. - 11 p.m.,8 p.m. - 11 p.m.,8 p.m. - 11 p.m.,
High Park,"11 Colborne Lodge Dr, Toronto, ON M6S 0A4",43.65066075,-79.46405082,Hardcourt-Acrylic,,City of Toronto,3,No Lights,2,Outdoor,Public,Toronto,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=77,,,Summer,,,,,,,,,
Howard Park,"430 Parkside Dr, Toronto, ON M6R 2Z6",43.65050809,-79.45920549,Hardcourt-Acrylic,,City of Toronto,7,Lights,No,Outdoor,Private with some public hours,Toronto,Howard Park Tennis Club,http://www.howardparktennis.com,Waitlist,Yes,416-769-5600,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=77,,,Summer,,,,,9 p.m. - 11 p.m.,9 p.m. - 11 p.m.,9 p.m. - 11 p.m.,9 p.m. - 11 p.m.,
Hillcrest Park,"950 Davenport Rd, Toronto, ON M6G 2B7",43.67602204,-79.42436587,Hardcourt-Acrylic,,City of Toronto,4,Lights,No,Outdoor,Private with some public hours,Toronto,Wychwood Tennis Club,https://wychwoodtennisclub.wildapricot.org/,Waitlist,Yes,416 654 6756,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=79,,,Summer,,,,,,7 p.m. - 11 p.m.,6 p.m. - 11 p.m.,6 p.m. - 11 p.m.,
Howard Talbot Park,"635 Eglinton Ave E, East York, ON M4G 2K3",43.71054388,-79.37214308,Hardcourt-Asphalt,,City of Toronto,2,No Lights,2,Outdoor,Public,Toronto,,,,No,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=424,,,Summer,,,,,,,,,
Hullmar Park,"97 Hullmar Dr, North York, ON M3N 1R1",43.76475316,-79.52546026,Hardcourt-Asphalt,,City of Toronto,3,Lights,2,Outdoor,Public,North York,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=663,,,Summer,,,,,,,,,
Humber Valley Park,"54 Anglesey Blvd, Toronto, ON",43.66477492,-79.52568742,Hardcourt-Asphalt,,City of Toronto,4,Lights,2,Outdoor,Public,Toronto,,,,No,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1012,,,Summer,,,,,,,,,
